country,continent,lifeExp,pop,gdpPercap
HORT2554 Q. Hortensius (8) Q. f. L. n. Hortalus,Violent,58,58,-42
CORN2573 Q. Cornificius (8) Q. f. Mae.,Violent,48,48,-42
TERE2611 M. Terentius (89) Varro Gibba,Violent,58,58,-42
POMP2633 A. Pompeius (26) Bithynicus,Violent,58,58,-42
CASS2742 L. Cassius (15) L. f. Longinus,Violent,33,33,-42
FLAV2744 C. Flavius (11) Hemicillus,Violent,33,33,-42
PORC2754 M. Porcius (13) Pap. Cato,Violent,33,33,-42
VILL2768 -. Villius (4) L. f. Annalis,Violent,33,33,-42
"LAEL2775 D. Laelius (14, cf. 6) D. f. Balbus",Violent,33,33,-42
ANTI2778 Pacuvius Antistius (35) Labeo,Violent,33,33,-42
VENT2791 -. Ventidius (3),Violent,33,33,-42
ROSC2797 -. Roscius (2),Violent,33,33,-42
PETR3772 -. Petronius (85),Violent,33,33,-42
VOLU4558 -. Volumnius (9),Violent,33,33,-42
TERE5127 M. Terentius (Licinius 110) Varro Lucullus,Violent,33,33,-42
ATIL5134 -. Atilius (6),Violent,58,58,-42
VERR1967 C. Verres (1) Rom.,Violent,84,84,-41
TORA2106 C. Toranius (4),Violent,84,84,-41
LUCC2225 L. Lucceius (6) Q. f.,Violent,59,59,-41
QUIN2376 Sex. Quinctilius (4) Varus,Violent,59,59,-41
SEPT2377 C. Septimius (7) Qui. T. f.,Violent,59,59,-41
LIGA2442 T. Ligarius (5) Ser.,Violent,59,59,-41
CEST2662 C. Cestius (3),Violent,34,34,-41
"ANON2667 P. - (RE 16.1792 (1), no. 4) Naso",Violent,59,59,-41
CAES2701 -. Caesennius (6) Lento,Violent,59,59,-41
AQUI2708 M'. Aquillius (16) Crassus,Violent,34,34,-41
CURT2817 Q. Curtius (32) Salassus,Violent,34,34,-41
FIDU3465 M. Fidustius (1) Ste.,Violent,84,84,-41
HATE3702 -. Haterius (1),Violent,34,34,-41
OCTA3758 C. Octavius (44) Balbus,Violent,34,34,-41
OCTA4346 -. Octavius (B) C. f. Balbus,Violent,34,34,-41
VETT4597 -. Vettius (not in RE) Salassus,Violent,59,59,-41
EGNA4691 -. Egnatius (6),Violent,34,34,-41
EGNA4692 -. Egnatius (6),Violent,34,34,-41
ARRU4698 -. Arruntius (cf. 2),Violent,59,59,-41
VETU4701 -. Vetulinus (not in RE) Vetulinus,Violent,34,34,-41
LIGA5111 -. Ligarius (1),Violent,34,34,-41
ANON5132 -. - (2) Largus,Violent,59,59,-41
LIGA5147 C. Ligarius (not in RE),Violent,34,34,-41
"APON5153 Q. Aponius (1, cf. 6)",Violent,59,59,-41
DECI2679 L. Decidius (4) Saxa,Violent,35,35,-40
CLOD2769 L.? Clodius (18) Bithynicus,Violent,35,35,-40
SALV2788 Q. Salvidienus (4) Rufus Salvius,Violent,35,35,-40
FUFI2807 C. Fuficius (5) Fal. Fango,Violent,35,35,-40
VELL2836 C. Velleius (2),Violent,60,60,-40
QUIN3242 L. Quinctius (13),Violent,35,35,-40
FLAV3468 C. Flavius (13),Violent,35,35,-40
STAI2588 L. Staius (2) Vol. Murcus,Violent,61,61,-39
LABI2777 Q. Labienus (5) T. f. Parthicus,Violent,36,36,-39
POMP2854 -. Pompeius (Demochares 7) Demochares Papias,Violent,39,39,-36
FLAV2870 -. Flavius (94) Gallus,Violent,39,39,-36
OPPI2874 -. Oppius (34) Statianus,Violent,39,39,-36
POMP2254 Sex. Pompeius (33) Cn. f. Cn. n. Magnus Pius,Violent,35,35,-35
POMP2832 Cn.? Pompeius (Menodorus 1) Cn. lib. Menodorus,Violent,40,40,-35
CURI2892 -. Curius (3),Violent,40,40,-35
POST3245 Q. Postumius (21),Violent,44,44,-31
OVIN3763 Q. Ovinius (2),Violent,44,44,-31
ANTO2392 M. Antonius (30) M. f. M. n.,Violent,53,53,-30
PATI2578 Q. Patisius (1),Violent,70,70,-30
"AQUI2618 M. Aquinus (5, Aquinius 2)",Violent,70,70,-30
TURU2692 D. Turullius (1),Violent,45,45,-30
CASS2723 C. Cassius (80) Pol. Parmensis,Violent,45,45,-30
PATI2728 Q. Patiscus (1),Violent,45,45,-30
SERV4304  Servilia (104),Violent,95,95,-30
ANON4722  - (Kleopatra 20) Philopater,Violent,39,39,-30
OCTA5122 C. Octavius (not in RE),Violent,45,45,-30
